	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top
ASV_375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_376	2	0	0	0	0	3	0	2	0	0	0	0	0	0
ASV_377	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_378	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_379	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_380	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_382	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV_384	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV_385	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV_386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_387	4	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_388	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_389	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV_390	0	0	2	1	1	2	0	0	0	0	0	0	0	0
ASV_391	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ASV_392	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ASV_393	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV_394	0	0	0	0	4	0	0	0	0	0	0	0	0	2
ASV_395	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_396	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_397	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_398	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_399	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_400	0	0	0	0	0	0	3	3	0	0	0	0	0	0
ASV_401	0	0	0	0	0	0	2	4	0	0	0	0	0	0
ASV_402	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_403	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_404	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_405	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV_406	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV_407	0	0	0	0	0	0	0	0	0	0	6	0	0	0
